Club,Manager,From,To,Tenure (days),Gap (days),Caretaker?,Exclude?,Data concern?,Comments
Accrington,John Coleman,1/5/99,23/01/2012,4650,,,,,"Accrington's previous incarnation left the Football League pre-1965, so don't need any previous data here"
Accrington,Paul Cook,13/02/2012,25/10/2012,255,21,,,,
Accrington,Leam Richardson,25/10/2012,1/11/12,7,0,Y,Y,,Caretaker spell before signing permanent deal
Accrington,Leam Richardson,1/11/12,30/04/2013,180,0,,,,
Accrington,James Beattie,13/05/2013,12/9/14,487,13,,,,
Accrington,John Coleman,18/09/2014,19/02/2019,1615,6,,,,
Aldershot,Dave Smith,1/7/59,1/3/67,2800,,,,Y,Need more accurate date; found some info at http://www.mselliott.plus.com/managers.html
Aldershot,Tom McAnearney,1/3/67,1/10/68,580,0,,,Y,Need more accurate date
Aldershot,Dick Conner,1/10/68,1/11/68,31,0,Y,Y,Y,Need more accurate date
Aldershot,Smith (General Manager) & Melia (Coach),1/11/68,1/4/69,151,0,,,Y,Need more accurate date
Aldershot,Jimmy Melia,1/4/69,1/1/72,1005,0,,,Y,Need more accurate date
Aldershot,Cliff Huxford,1/1/72,1/5/72,121,0,Y,N,Y,Need more accurate date; caretaker but for prolonged spell
Aldershot,Tom McAnearney,1/5/72,1/1/81,3167,0,,,Y,Need more accurate date
Aldershot,Len Walker,1/1/81,1/11/84,1400,0,,,Y,Need more accurate date
Aldershot,Ron Harris,1/11/84,1/6/85,212,0,,,Y,Need more accurate date
Aldershot,Len Walker,1/6/85,1/3/91,2099,0,,,Y,Need more accurate date
Aldershot,Brian Talbot,1/3/91,1/11/91,245,0,,,Y,Need more accurate date
Aldershot,Ian McDonald,1/11/91,25/03/1992,145,0,Y,Y,Y,Need more accurate date
Aldershot,Terry Brown,25/03/2002,15/05/2007,1877,3652,,,,Gap unimportant as not in the Football League during this spell
Aldershot,Gary Waddock,18/05/2007,14/10/2009,880,3,,,,
Aldershot,Kevin Dillon,9/11/09,10/1/11,427,26,,,,
Aldershot,Dean Holdsworth,11/1/11,20/02/2013,771,1,,,,
Aldershot,Andy Scott,22/02/2013,21/01/2015,698,2,,,,
Aldershot,Chris Barker,21/01/2015,19/02/2019,1490,0,,,,Not in top 4 divisions - no need to be current
Arsenal,Billy Wright,1/5/62,13/06/1966,1504,,,,,
Arsenal,Bertie Mee,20/06/1966,4/5/76,3606,7,,,,
Arsenal,Terry Neill,9/7/76,16/12/1983,2716,66,,,,
Arsenal,Don Howe,16/12/1983,22/03/1986,827,0,,,,
Arsenal,Steve Burtenshaw,23/03/1986,14/05/1986,52,1,Y,Y,,Caretaker but for a prolonged spell
Arsenal,George Graham,14/05/1986,21/02/1995,3205,0,,,,
Arsenal,Stewart Houston,21/02/1995,15/06/1995,114,0,Y,N,,Caretaker but for a prolonged spell (19 matches)
Arsenal,Bruce Rioch,15/06/1995,12/8/96,424,0,,,,
Arsenal,Stewart Houston,12/8/96,13/09/1996,32,0,Y,Y,,
Arsenal,Pat Rice,13/09/1996,30/09/1996,17,0,Y,Y,,
Arsenal,Arsene Wenger,30/09/1996,19/02/2019,8177,0,,,,
Aston Villa,Dick Taylor,1/7/64,31/05/1967,1064,,,,,Need more accurate date
Aston Villa,Tommy Cummings,1/7/67,30/11/1968,518,31,,,,Need more accurate date
Aston Villa,Tommy Docherty,1/12/68,1/1/70,396,1,,,,Need more accurate date
Aston Villa,Vic Crowe,1/1/70,6/5/74,1586,0,,,,Need more accurate date
Aston Villa,Ron Saunders,4/6/74,9/2/82,2807,29,,,,
Aston Villa,Tony Barton,9/2/82,18/06/1984,860,0,,,,
Aston Villa,Graham Turner,16/07/1984,14/09/1986,790,28,,,,
Aston Villa,Billy McNeill,22/09/1986,8/5/87,228,8,,,,
Aston Villa,Graham Taylor,18/05/1987,14/07/1990,1153,10,,,,
Aston Villa,Jozef Venglos,22/07/1990,28/05/1991,310,8,,,,
Aston Villa,Ron Atkinson,7/7/91,10/11/94,1222,40,,,,
Aston Villa,Brian Little,25/11/1994,24/02/1998,1187,15,,,,
Aston Villa,John Gregory,25/02/1998,24/01/2002,1429,1,,,,
Aston Villa,Graham Taylor,5/2/02,14/05/2003,463,12,,,,
Aston Villa,David O'Leary,20/05/2003,19/07/2006,1156,6,,,,
Aston Villa,Martin O'Neill,5/8/06,9/8/10,1465,17,,,,
Aston Villa,Gerard Houllier,21/09/2010,1/6/11,253,43,,,,
Aston Villa,Alex McLeish,17/06/2011,14/05/2012,332,16,,,,
Aston Villa,Paul Lambert,2/6/12,11/2/15,984,19,,,,
Aston Villa,Tim Sherwood,14/02/2015,15/10/2015,243,3,,,,
Aston Villa,Kevin MacDonald,15/10/2015,2/11/15,18,0,Y,Y,,
Aston Villa,Remi Garde,2/11/15,19/02/2019,1205,0,,,,
Barnet,Barry Fry,1/8/86,31/03/1993,2434,,,,Y,Need more accurate date
Barnet,Edwin Stein,1/4/93,30/06/1993,90,1,,,Y,Need more accurate date
Barnet,Gary Phillips,1/8/93,31/07/1994,364,32,,,Y,Need more accurate date
Barnet,Ray Clemence,1/8/94,31/07/1996,730,1,,,Y,Need more accurate date
Barnet,Terry Bullivant,1/8/96,30/06/1997,333,1,,,Y,Need more accurate date
Barnet,John Still,30/06/1997,1/11/00,1220,0,,,Y,Need more accurate date
Barnet,Tony Cottee,1/11/00,16/03/2001,135,0,,,Y,Need more accurate date
Barnet,John Still,16/03/2001,22/02/2002,343,0,,,,
Barnet,Peter Shreeves,26/02/2002,30/03/2003,397,4,,,,
Barnet,Martin Allen,30/03/2003,30/03/2004,366,0,,,Y,Need more accurate date
Barnet,Paul Fairclough,30/03/2004,27/12/2008,1733,0,,,,
Barnet,Ian Hendon,27/12/2008,28/04/2010,487,0,,,,
Barnet,Mark Stimson,1/6/10,1/1/11,214,34,,,,
Barnet,Paul Fairclough,1/1/11,23/03/2011,81,0,Y,Y,,Caretaker but for a prolonged period
Barnet,Martin Allen,23/03/2011,11/4/11,19,0,,,,Signed a permanent deal but left for Notts County after 3 games
Barnet,Lawrie Sanchez,13/05/2011,16/04/2012,339,32,,,,
Barnet,Martin Allen,16/04/2012,11/6/12,56,0,Y,Y,,
Barnet,Mark Robson,25/06/2012,30/12/2012,188,14,,,,
Barnet,Edgar Davids,30/12/2012,18/01/2014,384,0,,,,
Barnet,Ulrich Landvreugd & Dick Schreuder,23/01/2014,17/03/2014,53,5,,,,
Barnet,Martin Allen,19/03/2014,19/02/2019,1798,2,,,,
Barnsley,Johnny Steele,1/3/60,1/9/71,4201,,,,Y,Need more accurate date
Barnsley,John McSeveney,1/9/71,1/11/72,427,0,,,Y,Need more accurate date
Barnsley,Johnny Steele,1/11/72,1/4/73,151,0,,,Y,Need more accurate date
Barnsley,Jim Iley,1/4/73,14/04/1978,1839,0,,,Y,Need more accurate date
Barnsley,Allan Clarke,1/6/78,1/10/80,853,48,,,Y,Need more accurate date
Barnsley,Norman Hunter,1/10/80,8/2/84,1225,0,,,Y,Need more accurate date
Barnsley,Bobby Collins,8/2/84,25/06/1985,503,0,,,,
Barnsley,Allan Clarke,1/7/85,8/11/89,1591,6,,,Y,Need more accurate date
Barnsley,Mel Machin,1/12/89,5/5/93,1251,23,,,Y,Need more accurate date
Barnsley,Viv Anderson,3/6/93,2/6/94,364,29,,,,
Barnsley,Danny Wilson,2/6/94,7/7/98,1496,0,,,,
Barnsley,John Hendrie,7/7/98,19/04/1999,286,0,,,,
Barnsley,Dave Bassett,27/05/1999,19/12/2000,572,38,,,,
Barnsley,Nigel Spackman,8/1/01,25/10/2001,290,20,,,,
Barnsley,Steve Parkin,9/11/01,15/10/2002,340,15,,,,
Barnsley,Glyn Hodges,15/10/2002,30/06/2003,258,0,Y,N,,Caretaker but for a prolonged spell
Barnsley,Gudjon Thordarson,30/06/2003,4/3/04,248,0,,,,
Barnsley,Paul Hart,4/3/04,4/3/05,365,0,,,,
Barnsley,Andy Ritchie,4/3/05,21/11/2006,627,0,,,,
Barnsley,Simon Davey,22/11/2006,31/08/2009,1013,1,,,,
Barnsley,Mark Robins,9/9/09,15/05/2011,613,9,,,,
Barnsley,Keith Hill,1/6/11,29/12/2012,577,17,,,,
Barnsley,David Flitcroft,13/01/2013,1/12/13,322,15,,,,
Barnsley,Danny Wilson,17/12/2013,12/2/15,422,16,,,,
Barnsley,Lee Johnson,25/02/2015,19/02/2019,1455,13,,,,
Barrow,Don McEvoy,1/7/64,1/7/67,1095,,,,Y,Need more accurate date
Barrow,Colin Appleton,1/8/67,1/1/69,519,31,,,Y,Need more accurate date
Barrow,Norman Bodell,1/3/69,1/2/70,337,59,,,Y,Need more accurate date
Barrow,Don McEvoy,1/2/70,1/11/71,638,0,,,Y,Need more accurate date
Barrow,Jack Crompton,1/12/71,30/06/1972,212,30,,,Y,Need more accurate date
Barrow,Peter Kane,1/7/72,1/6/74,700,1,,,Y,Need more accurate date
Birmingham,Joe Mallett,1/7/64,27/12/1965,544,,,,Y,Need more accurate date
Birmingham,Stan Cullis,27/12/1965,18/03/1970,1542,0,,,,
Birmingham,Don Dorman & Bill Shorthouse,18/03/1970,29/05/1970,72,0,Y,Y,,Caretaker but for a prolonged spell
Birmingham,Fred Goodwin,29/05/1970,18/09/1975,1938,0,,,,
Birmingham,Willie Bell,18/09/1975,5/9/77,718,0,,,,
Birmingham,Sir Alf Ramsey,8/9/77,6/3/78,179,3,,,,
Birmingham,Jim Smith,12/3/78,15/02/1982,1436,6,,,,
Birmingham,Ron Saunders,18/02/1982,16/01/1986,1428,3,,,,
Birmingham,John Bond,22/01/1986,27/05/1987,490,6,,,,
Birmingham,Garry Pendrey,28/05/1987,26/04/1989,699,1,,,,
Birmingham,Dave Mackay,26/04/1989,23/01/1991,637,0,,,,
Birmingham,Lou Macari,7/2/91,18/06/1991,131,15,,,,
Birmingham,Terry Cooper,9/8/91,29/11/1993,843,52,,,,
Birmingham,Barry Fry,10/12/93,7/5/96,879,11,,,,
Birmingham,Trevor Francis,10/5/96,15/10/2001,1984,3,,,,
Birmingham,Mick Mills & Jim Barron,15/10/2001,12/12/01,58,0,Y,Y,,Caretaker but for a prolonged spell
Birmingham,Steve Bruce,12/12/01,19/11/2007,2168,0,,,,
Birmingham,Alex McLeish,28/11/2007,12/6/11,1292,9,,,,
Birmingham,Chris Hughton,22/06/2011,7/6/12,351,10,,,,
Birmingham,Lee Clark,26/06/2012,20/10/2014,846,19,,,,
Birmingham,Gary Rowett,27/10/2014,19/02/2019,1576,7,,,,
Blackburn,Jack Marshall,1/6/60,1/2/67,2436,,,,Y,Need more accurate date
Blackburn,Eddie Quigley,1/2/67,21/10/1970,1358,0,,,Y,Need more accurate date
Blackburn,Johnny Carey,21/10/1970,8/6/71,230,0,,,,
Blackburn,Ken Furphy,4/8/71,5/12/73,854,57,,,,
Blackburn,Gordon Lee,14/01/1974,12/6/75,514,40,,,,
Blackburn,Jim Smith,20/06/1975,12/3/78,996,8,,,,
Blackburn,Jim Iley,14/04/1978,1/11/78,201,33,,,,
Blackburn,John Pickering,1/11/78,15/05/1979,195,0,,,,
Blackburn,Howard Kendall,1/6/79,31/05/1981,730,17,,,,
Blackburn,Bobby Saxton,31/05/1981,30/12/1986,2039,0,,,,
Blackburn,Don Mackay,3/2/87,2/9/91,1672,35,,,,
Blackburn,Kenny Dalglish,12/10/91,25/06/1995,1352,40,,,,
Blackburn,Ray Harford,25/06/1995,25/10/1996,488,0,,,,
Blackburn,Tony Parkes,25/10/1996,1/6/97,219,0,Y,N,,Caretaker but for a prolonged spell
Blackburn,Roy Hodgson,1/6/97,21/11/1998,538,0,,,,
Blackburn,Brian Kidd,4/12/98,3/11/99,334,13,,,,
Blackburn,Tony Parkes,3/11/99,14/03/2000,132,0,Y,N,,Caretaker but for a prolonged spell
Blackburn,Graeme Souness,14/03/2000,6/9/04,1637,0,,,,
Blackburn,Mark Hughes,15/09/2004,4/6/08,1358,9,,,,
Blackburn,Paul Ince,21/06/2008,16/12/2008,178,17,,,,
Blackburn,Sam Allardyce,17/12/2008,13/12/2010,726,1,,,,
Blackburn,Steve Kean,13/12/2010,29/09/2012,656,0,,,,
Blackburn,Henning Berg,31/10/2012,27/12/2012,57,32,,,,
Blackburn,Michael Appleton,11/1/13,19/03/2013,67,15,,,,
Blackburn,Gary Bowyer,19/03/2013,24/05/2013,66,0,Y,Y,,Caretaker spell before signing permanent deal
Blackburn,Gary Bowyer,24/05/2013,10/11/15,900,0,,,,
Blackburn,Paul Lambert,15/11/2015,19/02/2019,1192,5,,,,
Blackpool,Ron Suart,1/5/58,1/2/67,3198,,,,Y,Need more accurate date
Blackpool,Stan Mortensen,1/2/67,30/04/1969,819,0,,,Y,Need more accurate date
Blackpool,Les Shannon,1/5/69,26/10/1970,543,1,,,Y,Need more accurate date
Blackpool,Jimmy Meadows,26/10/1970,20/12/1970,55,0,,,,
Blackpool,Bob Stokoe,20/12/1970,23/11/1972,704,0,,,,
Blackpool,Harry Potts,1/1/73,5/5/76,1220,39,,,,
Blackpool,Allan Brown,5/5/76,6/2/78,642,0,,,,
Blackpool,Jimmy Meadows,7/3/78,20/05/1978,74,29,,,,
Blackpool,Bob Stokoe,20/05/1978,17/08/1979,454,0,,,,
Blackpool,Stan Ternent,19/09/1979,1/2/80,135,33,,,,
Blackpool,Alan Ball,1/2/80,28/02/1981,393,0,,,Y,Need more accurate date
Blackpool,Allan Brown,1/3/81,31/05/1982,456,1,,,Y,Need more accurate date
Blackpool,Sam Ellis,1/6/82,28/03/1989,2492,1,,,Y,Need more accurate date
Blackpool,Jimmy Mullen,28/03/1989,30/04/1990,398,0,,,,
Blackpool,Graham Carr,11/6/90,30/11/1990,172,42,,,,
Blackpool,Billy Ayre,30/11/1990,10/6/94,1288,0,,,,
Blackpool,Sam Allardyce,19/07/1994,29/05/1996,680,39,,,,
Blackpool,Gary Megson,5/7/96,1/7/97,361,37,,,,
Blackpool,Nigel Worthington,8/7/97,23/12/1999,898,7,,,,
Blackpool,Steve McMahon,7/1/00,6/6/04,1612,15,,,,
Blackpool,Colin Hendry,7/6/04,24/11/2005,535,1,,,,
Blackpool,Simon Grayson,24/11/2005,23/12/2008,1125,0,,,,
Blackpool,Tony Parkes,23/12/2008,18/05/2009,146,0,,,,
Blackpool,Ian Holloway,21/05/2009,3/11/12,1262,3,,,,
Blackpool,Michael Appleton,8/11/12,11/1/13,64,5,,,,
Blackpool,Paul Ince,18/02/2013,21/01/2014,337,38,,,,
Blackpool,Barry Ferguson,21/01/2014,3/5/14,102,0,Y,N,,Caretaker but for a prolonged spell
Blackpool,Jose Riga,11/6/14,28/10/2014,139,39,,,,
Blackpool,Lee Clark,30/10/2014,9/5/15,191,2,,,,
Blackpool,Neil McDonald,2/6/15,19/02/2019,1358,24,,,,
Bolton,Bill Ridding,1/10/51,1/8/68,6149,,,,Y,Need more accurate date
Bolton,Nat Lofthouse,1/8/68,18/12/1968,139,0,,,Y,Caretaker spell before signing permanent deal
Bolton,Nat Lofthouse,18/12/1968,1/11/70,683,0,,,,Need more accurate date
Bolton,Jimmy McIlroy,1/11/70,19/11/1970,18,0,,,,Permanent appointment but resigned in protest
Bolton,Jimmy Meadows,13/01/1971,30/04/1971,107,55,,,,
Bolton,Nat Lofthouse,1/5/71,1/8/71,92,1,Y,Y,Y,Caretaker but for a prolonged spell
Bolton,Jimmy Armfield,1/8/71,4/10/74,1160,0,,,,
Bolton,Ian Greaves,7/10/74,28/01/1980,1939,3,,,,
Bolton,Stan Anderson,28/01/1980,31/05/1981,489,0,,,,
Bolton,George Mulhall,1/6/81,1/6/82,365,1,,,Y,Need more accurate date
Bolton,John McGovern,1/6/82,7/1/85,951,0,,,Y,Need more accurate date
Bolton,Charlie Wright,7/2/85,6/12/85,302,31,,,,Was there a caretaker beforehand?
Bolton,Phil Neal,18/12/1985,8/5/92,2333,12,,,,
Bolton,Bruce Rioch,29/05/1992,8/6/95,1105,21,,,,
Bolton,Roy McFarland,20/06/1995,2/1/96,196,12,,,,
Bolton,Colin Todd,2/1/96,22/09/1999,1359,0,,,,
Bolton,Sam Allardyce,19/10/1999,29/04/2007,2749,27,,,,
Bolton,Sammy Lee,30/04/2007,17/10/2007,170,1,,,,
Bolton,Gary Megson,25/10/2007,30/12/2009,797,8,,,,
Bolton,Owen Coyle,8/1/10,9/10/12,1005,9,,,,
Bolton,Dougie Freedman,25/10/2012,3/10/14,708,16,,,,
Bolton,Neil Lennon,12/10/14,19/02/2019,1591,9,,,,
Boston,Steve Evans,1/10/98,4/7/02,1372,,,,,
Boston,Neil Thompson,8/7/02,13/02/2004,585,4,,,,
Boston,Steve Evans,2/3/04,27/05/2007,1181,18,,,,
Bournemouth,Fred Cox,1/4/65,30/04/1970,1855,,,,Y,Need more accurate date
Bournemouth,John Bond,1/5/70,27/11/1973,1306,1,,,,
Bournemouth,Trevor Hartley,30/11/1973,2/1/75,398,3,,,,
Bournemouth,John Benson,23/01/1975,1/1/78,1074,21,,,,
Bournemouth,Alec Stock,25/01/1978,1/12/80,1041,24,,,,
Bournemouth,David Webb,1/12/80,10/2/82,436,0,,,,
Bournemouth,Don Megson,9/3/82,19/10/1983,589,27,,,,
Bournemouth,Harry Redknapp,19/10/1983,9/6/92,3156,0,,,,
Bournemouth,Tony Pulis,9/6/92,5/8/94,787,0,,,,
Bournemouth,Mel Machin,1/9/94,19/08/2000,2179,27,,,,
Bournemouth,Sean O'Driscoll,19/08/2000,10/9/06,2213,0,,,,
Bournemouth,Kevin Bond,13/10/2006,1/9/08,689,33,,,,Was there a caretaker beforehand?
Bournemouth,Jimmy Quinn,2/9/08,1/1/09,121,1,,,,
Bournemouth,Eddie Howe,1/1/09,16/01/2011,745,0,,,,
Bournemouth,Lee Bradbury,16/01/2011,25/03/2012,434,0,,,,
Bournemouth,Paul Groves,25/03/2012,3/10/12,192,0,,,,
Bournemouth,Eddie Howe,12/10/12,19/02/2019,2321,9,,,,
Bradford,Bill Harris,1/3/65,31/03/1966,395,,,,Y,Need more accurate date
Bradford,Willie Watson,1/4/66,1/1/67,275,1,,,Y,Need more accurate date
Bradford,Grenville Hair,1/1/67,1/3/68,425,0,,,Y,Need more accurate date
Bradford,Jim McAnearney & Tom Hallett,7/3/68,31/05/1968,85,6,,,Y,Need more accurate date; Was there a caretaker beforehand?
Bradford,Jimmy Wheeler,1/6/68,7/9/71,1193,1,,,Y,Need more accurate date
Bradford,Ray Wilson,7/9/71,1/11/71,55,0,,,,Was there a caretaker beforehand?
Bradford,Bryan Edwards,1/11/71,17/01/1975,1173,0,,,,
Bradford,Bobby Kennedy,17/01/1975,31/01/1978,1110,0,,,,
Bradford,John Napier,1/2/78,31/10/1978,272,1,,,Y,Need more accurate date
Bradford,George Mulhall,1/11/78,1/3/81,851,1,,,Y,Need more accurate date
Bradford,Roy McFarland,1/5/81,22/11/1982,570,61,,,,Was there a caretaker beforehand?
Bradford,Trevor Cherry,1/12/82,5/1/87,1496,9,,,,
Bradford,Terry Dolan,5/1/87,30/01/1989,756,0,,,,
Bradford,Terry Yorath,2/2/89,7/3/90,398,3,,,,
Bradford,John Docherty,20/03/1990,11/11/91,601,13,,,,
Bradford,Frank Stapleton,9/12/91,2/5/94,875,28,,,,
Bradford,Lennie Lawrence,25/05/1994,27/11/1995,551,23,,,,
Bradford,Chris Kamara,27/11/1995,6/1/98,771,0,,,,
Bradford,Paul Jewell,6/1/98,18/06/2000,894,0,,,,
Bradford,Chris Hutchings,18/06/2000,6/11/00,141,0,,,,
Bradford,Jim Jefferies,20/11/2000,24/12/2001,399,14,,,,
Bradford,Nicky Law,1/1/02,9/11/03,677,8,,,,
Bradford,Bryan Robson,24/11/2003,17/06/2004,206,15,,,,
Bradford,Colin Todd,18/06/2004,12/2/07,969,1,,,,
Bradford,David Wetherall,12/2/07,22/05/2007,99,0,Y,N,,Caretaker but for a prolonged period
Bradford,Stuart McCall,22/05/2007,8/2/10,993,0,,,,
Bradford,Peter Taylor,22/02/2010,27/02/2011,370,14,,,,
Bradford,Peter Jackson,27/02/2011,25/08/2011,179,0,,,,
Bradford,Phil Parkinson,29/08/2011,19/02/2019,2731,4,,,,
Bradford PA,John Buchanan,1/6/64,1/7/66,760,,,,Y,Need more accurate date
Bradford PA,Jack Rowley,1/7/66,1/7/68,731,0,,,Y,Need more accurate date
Bradford PA,Laurie Brown,1/7/68,1/7/69,365,0,,,Y,Need more accurate date
Bradford PA,Don McCalman,1/7/69,1/7/70,365,0,,,Y,Need more accurate date
Brentford,Tommy Cavanagh,1/1/65,1/3/66,424,,,,Y,Need more accurate date
Brentford,Billy Gray,1/8/66,1/9/67,396,153,,,Y,Need more accurate date
Brentford,Jimmy Sirrel,1/9/67,30/11/1969,821,0,,,Y,Need more accurate date
Brentford,Frank Blunstone,1/12/69,11/7/73,1318,1,,,,
Brentford,Mike Everitt,1/9/73,15/01/1975,501,52,,,,Was there a caretaker beforehand?
Brentford,John Docherty,20/01/1975,7/9/76,596,5,,,,
Brentford,Bill Dodgin(Jnr),16/09/1976,1/3/80,1262,9,,,,
Brentford,Fred Callaghan,1/3/80,2/2/84,1433,0,,,,
Brentford,Frank McLintock,9/2/84,1/1/87,1057,7,,,,
Brentford,Steve Perryman,1/1/87,15/08/1990,1322,0,,,,
Brentford,Phil Holder,24/08/1990,11/5/93,991,9,,,,
Brentford,David Webb,17/05/1993,4/8/97,1540,6,,,,
Brentford,Eddie May,5/8/97,5/11/97,92,1,,,,
Brentford,Micky Adams,5/11/97,1/7/98,238,0,,,,
Brentford,Ron Noades,1/7/98,20/11/2000,873,0,,,,
Brentford,Ray Lewington,20/11/2000,7/5/01,168,0,,,,
Brentford,Steve Coppell,8/5/01,5/6/02,393,1,,,,
Brentford,Wally Downes,28/06/2002,14/03/2004,625,23,,,,
Brentford,Martin Allen,18/03/2004,31/05/2006,804,4,,,,
Brentford,Leroy Rosenior,14/06/2006,18/11/2006,157,14,,,,
Brentford,Scott Fitzgerald,18/11/2006,10/4/07,143,0,,,,
Brentford,Terry Butcher,7/5/07,11/12/07,218,27,,,,
Brentford,Andy Scott,11/12/07,3/2/11,1150,0,,,,
Brentford,Nicky Forster,3/2/11,8/6/11,125,0,,,,
Brentford,Uwe Rosler,10/6/11,7/12/13,911,2,,,,
Brentford,Mark Warburton,10/12/13,31/05/2015,537,3,,,,
Brentford,Marinus Dijkhuizen,1/6/15,28/09/2015,119,1,,,,
Brentford,Lee Carsley,28/09/2015,4/12/15,67,0,,,,Immediately appointed as replacement
Brentford,Dean Smith,4/12/15,19/02/2019,1173,0,,,,
Brighton,Archie Macauley,1/4/63,1/10/68,2010,,,,Y,
Brighton,Fred Goodwin,1/10/68,1/5/70,577,0,,,Y,
Brighton,Pat Saward,17/06/1970,22/10/1973,1223,47,,,,
Brighton,Brian Clough,1/11/73,20/07/1974,261,10,,,,
Brighton,Peter Taylor,20/07/1974,16/07/1976,727,0,,,,
Brighton,Alan Mullery,16/07/1976,1/6/81,1781,0,,,,
Brighton,Mike Bailey,1/6/81,6/12/82,553,0,,,,
Brighton,Jimmy Melia,10/12/82,19/10/1983,313,4,,,,
Brighton,Chris Cattlin,19/10/1983,30/04/1986,924,0,,,,
Brighton,Alan Mullery,12/5/86,5/1/87,238,12,,,,
Brighton,Barry Lloyd,5/1/87,4/12/93,2525,0,,,,
Brighton,Liam Brady,15/12/1993,20/11/1995,705,11,,,,
Brighton,Jimmy Case,21/11/1995,4/12/96,379,1,,,,
Brighton,Steve Gritt,11/12/96,25/02/1998,441,7,,,,
Brighton,Brian Horton,26/02/1998,22/01/1999,330,1,,,,
Brighton,Jeff Wood,22/01/1999,8/4/99,76,0,,,,Appears to be a permanent appointment
Brighton,Micky Adams,12/4/99,10/10/01,912,4,,,,
Brighton,Peter Taylor,17/10/2001,31/05/2002,226,7,,,,
Brighton,Martin Hinshelwood,15/07/2002,7/10/02,84,45,,,,Appears to be a permanent appointment
Brighton,Steve Coppell,7/10/02,9/10/03,367,0,,,,
Brighton,Mark McGhee,28/10/2003,8/9/06,1046,19,,,,
Brighton,Dean Wilkins,8/9/06,8/5/08,608,0,,,,
Brighton,Micky Adams,8/5/08,21/02/2009,289,0,,,,
Brighton,Russell Slade,6/3/09,1/11/09,240,13,,,,
Brighton,Gus Poyet,10/11/09,23/06/2013,1321,9,,,,
Brighton,Oscar Garcia,26/06/2013,12/5/14,320,3,,,,
Brighton,Sami Hyypia,6/6/14,22/12/2014,199,25,,,,
Brighton,Chris Hughton,31/12/2014,19/02/2019,1511,9,,,,
Bristol C,Fred Ford,1/7/60,30/09/1967,2647,,,,Y,
Bristol C,Alan Dicks,1/10/67,30/09/1980,4748,1,,,Y,
Bristol C,Bobby Houghton,1/10/80,3/1/82,459,1,,,,
Bristol C,Roy Hodgson,3/1/82,30/04/1982,117,0,,,,
Bristol C,Terry Cooper,20/05/1982,16/03/1988,2127,20,,,,
Bristol C,Joe Jordan,16/03/1988,1/9/90,899,0,,,,
Bristol C,Jimmy Lumsden,8/10/90,24/02/1992,504,37,,,,
Bristol C,Denis Smith,9/3/92,21/02/1993,349,14,,,,
Bristol C,Russell Osman,21/02/1993,14/11/1994,631,0,,,,
Bristol C,Joe Jordan,15/11/1994,24/03/1997,860,1,,,,
Bristol C,John Ward,27/03/1997,28/10/1998,580,3,,,,
Bristol C,Benny Lennartsson,28/10/1998,5/7/99,250,0,,,,
Bristol C,Tony Pulis,5/7/99,14/01/2000,193,0,,,,
Bristol C,David Burnside & Tony Fawthrop & Leroy Rosenior,14/01/2000,27/06/2000,165,0,,,,
Bristol C,Danny Wilson,27/06/2000,5/6/04,1439,0,,,,
Bristol C,Brian Tinnion,5/6/04,11/9/05,463,0,,,,
Bristol C,Gary Johnson,26/09/2005,18/03/2010,1634,15,,,,
Bristol C,Keith Millen,18/03/2010,11/5/10,54,0,Y,Y,,
Bristol C,Steve Coppell,11/5/10,12/8/10,93,0,,,,
Bristol C,Keith Millen,12/8/10,3/10/11,417,0,,,,
Bristol C,Derek McInnes,19/10/2011,12/1/13,451,16,,,,
Bristol C,Sean O'Driscoll,14/01/2013,28/11/2013,318,2,,,,
Bristol C,Steve Cotterill,3/12/13,19/02/2019,1904,5,,,,
Bristol R,Bert Tann,1/1/50,1/4/68,6665,,,,Y,
Bristol R,Fred Ford,1/4/68,1/8/69,487,0,,,Y,
Bristol R,Bill Dodgin(Snr),1/8/69,1/7/72,1065,0,,,Y,
Bristol R,Don Megson,1/7/72,22/11/1977,1970,0,,,,
Bristol R,Bobby Campbell,22/11/1977,12/12/79,750,0,,,,
Bristol R,Harold Jarman,13/12/1979,1/4/80,110,1,,,,
Bristol R,Terry Cooper,1/4/80,20/10/1981,567,0,,,,
Bristol R,Bobby Gould,22/10/1981,1/5/83,556,2,,,,
Bristol R,David Williams,1/5/83,10/5/85,740,0,,,,
Bristol R,Bobby Gould,16/05/1985,1/7/87,776,6,,,,
Bristol R,Gerry Francis,1/7/87,13/05/1991,1412,0,,,,
Bristol R,Martin Dobson,2/7/91,4/10/91,94,50,,,,
Bristol R,Dennis Rofe,4/10/91,1/11/92,394,0,,,,
